13,4,1,11,1186,84097,87713,365.181 456 495 25.3137 536 532 136.889 556 292 116.647 592 458 159.204 707 360 ,Click1,3,687,361,90447,NA
13,4,1,11,1186,84097,87713,365.181 456 495 25.3137 536 532 136.889 556 292 116.647 592 458 159.204 707 360 ,Click1,4,522,304,91072,NA
13,4,1,11,1186,84097,87713,365.181 456 495 25.3137 536 532 136.889 556 292 116.647 592 458 159.204 707 360 ,Summary,NA,NA,NA,91082,0.25
13,4,1,12,1323,92563,96002,5.18117 794 486 196.098 468 487 137.012 289 501 185.653 250 531 229.2 425 334 ,Click1,0,282,518,96936,NA
13,4,1,12,1323,92563,96002,5.18117 794 486 196.098 468 487 137.012 289 501 185.653 250 531 229.2 425 334 ,Click1,1,327,476,97457,NA
13,4,1,12,1323,92563,96002,5.18117 794 486 196.098 468 487 137.012 289 501 185.653 250 531 229.2 425 334 ,Click1,2,452,483,97953,NA
13,4,1,12,1323,92563,96002,5.18117 794 486 196.098 468 487 137.012 289 501 185.653 250 531 229.2 425 334 ,Click1,3,430,356,98497,NA
13,4,1,12,1323,92563,96002,5.18117 794 486 196.098 468 487 137.012 289 501 185.653 250 531 229.2 425 334 ,Click1,4,693,483,99112,NA
13,4,1,12,1323,92563,96002,5.18117 794 486 196.098 468 487 137.012 289 501 185.653 250 531 229.2 425 334 ,Summary,NA,NA,NA,99127,0.4
13,4,1,13,1440,101266,104312,188.931 572 295 346.926 409 379 265.09 250 313 221.063 687 444 76.5092 390 328 ,Click1,0,247,298,105395,NA
13,4,1,13,1440,101266,104312,188.931 572 295 346.926 409 379 265.09 250 313 221.063 687 444 76.5092 390 328 ,Click1,1,383,323,105995,NA
13,4,1,13,1440,101266,104312,188.931 572 295 346.926 409 379 265.09 250 313 221.063 687 444 76.5092 390 328 ,Click1,2,391,361,106448,NA
13,4,1,13,1440,101266,104312,188.931 572 295 346.926 409 379 265.09 250 313 221.063 687 444 76.5092 390 328 ,Click1,3,493,273,107033,NA
13,4,1,13,1440,101266,104312,188.931 572 295 346.926 409 379 265.09 250 313 221.063 687 444 76.5092 390 328 ,Click1,4,752,524,107752,NA
13,4,1,13,1440,101266,104312,188.931 572 295 346.926 409 379 265.09 250 313 221.063 687 444 76.5092 390 328 ,Summary,NA,NA,NA,107764,0.47
13,4,1,14,1570,109131,112436,61.9384 336 234 334.956 723 305 7.12331 305 438 165.721 631 449 19.8617 387 288 ,Click1,0,306,434,113528,NA
13,4,1,14,1570,109131,112436,61.9384 336 234 334.956 723 305 7.12331 305 438 165.721 631 449 19.8617 387 288 ,Click1,1,389,289,114144,NA
13,4,1,14,1570,109131,112436,61.9384 336 234 334.956 723 305 7.12331 305 438 165.721 631 449 19.8617 387 288 ,Click1,2,356,238,114561,NA
13,4,1,14,1570,109131,112436,61.9384 336 234 334.956 723 305 7.12331 305 438 165.721 631 449 19.8617 387 288 ,Click1,3,660,313,115112,NA
13,4,1,14,1570,109131,112436,61.9384 336 234 334.956 723 305 7.12331 305 438 165.721 631 449 19.8617 387 288 ,Click1,4,638,443,115584,NA
13,4,1,14,1570,109131,112436,61.9384 336 234 334.956 723 305 7.12331 305 438 165.721 631 449 19.8617 387 288 ,Summary,NA,NA,NA,115597,0.2
13,4,1,15,1705,117195,120797,177.365 457 542 338.503 528 450 22.7783 641 536 261.568 404 443 141.8 422 412 ,Click1,0,422,408,121682,NA
13,4,1,15,1705,117195,120797,177.365 457 542 338.503 528 450 22.7783 641 536 261.568 404 443 141.8 422 412 ,Click1,1,404,443,122184,NA
13,4,1,15,1705,117195,120797,177.365 457 542 338.503 528 450 22.7783 641 536 261.568 404 443 141.8 422 412 ,Click1,2,534,441,122704,NA
13,4,1,15,1705,117195,120797,177.365 457 542 338.503 528 450 22.7783 641 536 261.568 404 443 141.8 422 412 ,Click1,3,452,535,123201,NA
13,4,1,15,1705,117195,120797,177.365 457 542 338.503 528 450 22.7783 641 536 261.568 404 443 141.8 422 412 ,Click1,4,618,515,123753,NA
13,4,1,15,1705,117195,120797,177.365 457 542 338.503 528 450 22.7783 641 536 261.568 404 443 141.8 422 412 ,Summary,NA,NA,NA,123762,0.12
13,4,1,16,1821,126210,129214,338.79 402 465 182.163 560 246 201.16 533 490 64.3282 481 439 205.35 446 387 ,Click1,0,386,495,130265,NA
13,4,1,16,1821,126210,129214,338.79 402 465 182.163 560 246 201.16 533 490 64.3282 481 439 205.35 446 387 ,Click1,1,449,373,130792,NA
13,4,1,16,1821,126210,129214,338.79 402 465 182.163 560 246 201.16 533 490 64.3282 481 439 205.35 446 387 ,Click1,2,494,420,131322,NA
13,4,1,16,1821,126210,129214,338.79 402 465 182.163 560 246 201.16 533 490 64.3282 481 439 205.35 446 387 ,Click1,3,583,489,131784,NA
13,4,1,16,1821,126210,129214,338.79 402 465 182.163 560 246 201.16 533 490 64.3282 481 439 205.35 446 387 ,Click1,4,574,270,132448,NA
13,4,1,16,1821,126210,129214,338.79 402 465 182.163 560 246 201.16 533 490 64.3282 481 439 205.35 446 387 ,Summary,NA,NA,NA,132458,0.3
13,4,1,17,1962,133898,137676,323.773 726 281 360.676 346 269 360.742 409 318 238.191 789 368 353.513 441 539 ,Click1,0,333,263,138474,NA
13,4,1,17,1962,133898,137676,323.773 726 281 360.676 346 269 360.742 409 318 238.191 789 368 353.513 441 539 ,Click1,1,409,334,139010,NA
13,4,1,17,1962,133898,137676,323.773 726 281 360.676 346 269 360.742 409 318 238.191 789 368 353.513 441 539 ,Click1,2,640,275,139466,NA
13,4,1,17,1962,133898,137676,323.773 726 281 360.676 346 269 360.742 409 318 238.191 789 368 353.513 441 539 ,Click1,3,746,382,139952,NA
13,4,1,17,1962,133898,137676,323.773 726 281 360.676 346 269 360.742 409 318 238.191 789 368 353.513 441 539 ,Click1,4,450,505,140626,NA
13,4,1,17,1962,133898,137676,323.773 726 281 360.676 346 269 360.742 409 318 238.191 789 368 353.513 441 539 ,Summary,NA,NA,NA,140637,0.4
13,4,1,18,2071,142117,144998,132.75 647 320 172.117 361 265 1.72297 722 494 226.583 488 428 337.082 709 454 ,Click1,0,380,247,145913,NA
13,4,1,18,2071,142117,144998,132.75 647 320 172.117 361 265 1.72297 722 494 226.583 488 428 337.082 709 454 ,Click1,1,482,422,146538,NA
13,4,1,18,2071,142117,144998,132.75 647 320 172.117 361 265 1.72297 722 494 226.583 488 428 337.082 709 454 ,Click1,2,612,289,147081,NA
13,4,1,18,2071,142117,144998,132.75 647 320 172.117 361 265 1.72297 722 494 226.583 488 428 337.082 709 454 ,Click1,3,702,391,147578,NA
13,4,1,18,2071,142117,144998,132.75 647 320 172.117 361 265 1.72297 722 494 226.583 488 428 337.082 709 454 ,Click1,4,739,442,148001,NA
13,4,1,18,2071,142117,144998,132.75 647 320 172.117 361 265 1.72297 722 494 226.583 488 428 337.082 709 454 ,Summary,NA,NA,NA,148013,0.35
13,4,1,19,2179,149564,152502,139.958 423 497 89.7473 365 545 220.473 545 386 303.678 348 229 265.445 702 194 ,Click1,0,352,246,153460,NA
13,4,1,19,2179,149564,152502,139.958 423 497 89.7473 365 545 220.473 545 386 303.678 348 229 265.445 702 194 ,Click1,1,399,525,154073,NA
13,4,1,19,2179,149564,152502,139.958 423 497 89.7473 365 545 220.473 545 386 303.678 348 229 265.445 702 194 ,Click1,2,469,473,154576,NA
13,4,1,19,2179,149564,152502,139.958 423 497 89.7473 365 545 220.473 545 386 303.678 348 229 265.445 702 194 ,Click1,3,538,414,155009,NA
13,4,1,19,2179,149564,152502,139.958 423 497 89.7473 365 545 220.473 545 386 303.678 348 229 265.445 702 194 ,Click1,4,654,242,155553,NA
13,4,1,19,2179,149564,152502,139.958 423 497 89.7473 365 545 220.473 545 386 303.678 348 229 265.445 702 194 ,Summary,NA,NA,NA,155562,0.39
13,4,1,20,2249,157139,158995,309.805 423 488 342.299 498 501 214.019 386 300 39.5141 409 296 161.78 530 223 ,Click1,0,371,301,160012,NA
13,4,1,20,2249,157139,158995,309.805 423 488 342.299 498 501 214.019 386 300 39.5141 409 296 161.78 530 223 ,Click1,1,419,295,160377,NA
13,4,1,20,2249,157139,158995,309.805 423 488 342.299 498 501 214.019 386 300 39.5141 409 296 161.78 530 223 ,Click1,2,537,191,160785,NA
13,4,1,20,2249,157139,158995,309.805 423 488 342.299 498 501 214.019 386 300 39.5141 409 296 161.78 530 223 ,Click1,3,408,527,161960,NA
13,4,1,20,2249,157139,158995,309.805 423 488 342.299 498 501 214.019 386 300 39.5141 409 296 161.78 530 223 ,Click1,4,544,475,162424,NA
13,4,1,20,2249,157139,158995,309.805 423 488 342.299 498 501 214.019 386 300 39.5141 409 296 161.78 530 223 ,Summary,NA,NA,NA,162435,0.3
13,4,1,21,2373,163949,167434,189.489 653 269 171.815 741 375 34.3334 443 323 209.298 598 489 35.3077 434 400 ,Click1,0,425,327,168251,NA
13,4,1,21,2373,163949,167434,189.489 653 269 171.815 741 375 34.3334 443 323 209.298 598 489 35.3077 434 400 ,Click1,1,425,392,168641,NA
13,4,1,21,2373,163949,167434,189.489 653 269 171.815 741 375 34.3334 443 323 209.298 598 489 35.3077 434 400 ,Click1,2,565,489,169193,NA
13,4,1,21,2373,163949,167434,189.489 653 269 171.815 741 375 34.3334 443 323 209.298 598 489 35.3077 434 400 ,Click1,3,602,281,169788,NA
13,4,1,21,2373,163949,167434,189.489 653 269 171.815 741 375 34.3334 443 323 209.298 598 489 35.3077 434 400 ,Click1,4,675,365,170628,NA
13,4,1,21,2373,163949,167434,189.489 653 269 171.815 741 375 34.3334 443 323 209.298 598 489 35.3077 434 400 ,Summary,NA,NA,NA,170637,0.37
13,4,1,22,2431,172892,174421,189.477 504 269 158.455 599 420 160.424 343 378 208.017 462 428 50.6102 545 499 ,Click1,0,373,390,175322,NA
13,4,1,22,2431,172892,174421,189.477 504 269 158.455 599 420 160.424 343 378 208.017 462 428 50.6102 545 499 ,Click1,1,465,423,175881,NA
13,4,1,22,2431,172892,174421,189.477 504 269 158.455 599 420 160.424 343 378 208.017 462 428 50.6102 545 499 ,Click1,2,592,500,176386,NA
13,4,1,22,2431,172892,174421,189.477 504 269 158.455 599 420 160.424 343 378 208.017 462 428 50.6102 545 499 ,Click1,3,478,283,177004,NA
13,4,1,22,2431,172892,174421,189.477 504 269 158.455 599 420 160.424 343 378 208.017 462 428 50.6102 545 499 ,Click1,4,590,386,177434,NA
13,4,1,22,2431,172892,174421,189.477 504 269 158.455 599 420 160.424 343 378 208.017 462 428 50.6102 545 499 ,Summary,NA,NA,NA,177444,0.3
13,4,1,23,2487,179125,180638,46.9076 491 329 161.396 461 469 355.692 276 400 19.0835 368 383 355.886 656 579 ,Click1,0,311,390,181601,NA
13,4,1,23,2487,179125,180638,46.9076 491 329 161.396 461 469 355.692 276 400 19.0835 368 383 355.886 656 579 ,Click1,1,393,381,182089,NA
13,4,1,23,2487,179125,180638,46.9076 491 329 161.396 461 469 355.692 276 400 19.0835 368 383 355.886 656 579 ,Click1,2,516,344,182579,NA
13,4,1,23,2487,179125,180638,46.9076 491 329 161.396 461 469 355.692 276 400 19.0835 368 383 355.886 656 579 ,Click1,3,472,437,183081,NA
13,4,1,23,2487,179125,180638,46.9076 491 329 161.396 461 469 355.692 276 400 19.0835 368 383 355.886 656 579 ,Click1,4,640,543,183650,NA
13,4,1,23,2487,179125,180638,46.9076 491 329 161.396 461 469 355.692 276 400 19.0835 368 383 355.886 656 579 ,Summary,NA,NA,NA,183663,0.33
13,4,1,24,2611,185060,188500,216.585 618 504 321.13 444 381 25.6893 593 418 352.518 439 537 126.736 593 368 ,Click1,0,438,379,189449,NA
13,4,1,24,2611,185060,188500,216.585 618 504 321.13 444 381 25.6893 593 418 352.518 439 537 126.736 593 368 ,Click1,1,630,369,190025,NA
13,4,1,24,2611,185060,188500,216.585 618 504 321.13 444 381 25.6893 593 418 352.518 439 537 126.736 593 368 ,Click1,2,607,405,190458,NA
13,4,1,24,2611,185060,188500,216.585 618 504 321.13 444 381 25.6893 593 418 352.518 439 537 126.736 593 368 ,Click1,3,596,487,190882,NA
13,4,1,24,2611,185060,188500,216.585 618 504 321.13 444 381 25.6893 593 418 352.518 439 537 126.736 593 368 ,Click1,4,475,549,191434,NA
13,4,1,24,2611,185060,188500,216.585 618 504 321.13 444 381 25.6893 593 418 352.518 439 537 126.736 593 368 ,Summary,NA,NA,NA,191444,0.25
13,5,3,25,2698,202203,204535,219.326 425 382 325.59 600 216 201.996 706 473 352.823 664 519 83.7786 488 337 ,Click2,1,3,3,206187,1
13,5,3,25,2698,202203,204535,219.326 425 382 325.59 600 216 201.996 706 473 352.823 664 519 83.7786 488 337 ,Click2,2,5,5,207267,1
13,5,3,26,2817,207268,210544,12.6777 310 291 189.494 676 201 209.35 414 336 205.208 514 274 309.857 591 430 ,Click2,1,4,4,212362,1
13,5,3,26,2817,207268,210544,12.6777 310 291 189.494 676 201 209.35 414 336 205.208 514 274 309.857 591 430 ,Click2,2,5,5,213611,1
13,5,3,27,2916,213612,216208,34.3533 545 389 192.543 421 193 18.5653 413 508 204.733 662 390 313.982 772 249 ,Click2,1,1,2,217946,0
13,5,3,27,2916,213612,216208,34.3533 545 389 192.543 421 193 18.5653 413 508 204.733 662 390 313.982 772 249 ,Click2,2,2,1,218785,0
13,5,3,28,2981,218787,220503,15.7899 699 456 62.8309 323 236 13.4377 567 575 211.79 520 302 191.63 673 218 ,Click2,1,5,5,223251,1
13,5,3,28,2981,218787,220503,15.7899 699 456 62.8309 323 236 13.4377 567 575 211.79 520 302 191.63 673 218 ,Click2,2,3,3,225178,1
13,5,3,29,3078,225179,227741,212.935 641 428 83.41 393 474 106.959 496 286 107.065 342 312 5.94734 611 241 ,Click2,1,3,3,229122,1
13,5,3,29,3078,225179,227741,212.935 641 428 83.41 393 474 106.959 496 286 107.065 342 312 5.94734 611 241 ,Click2,2,1,1,230482,1
13,5,3,30,3149,230483,232421,208.185 471 348 358.485 494 547 169.485 639 363 9.05681 302 456 27.3208 788 294 ,Click2,1,4,4,234211,1
13,5,3,30,3149,230483,232421,208.185 471 348 358.485 494 547 169.485 639 363 9.05681 302 456 27.3208 788 294 ,Click2,2,3,3,235411,1
13,5,3,31,3254,235412,238274,287.742 564 494 192.63 577 496 5.08556 418 419 131.686 331 382 189.526 550 225 ,Click2,1,3,3,240770,1
13,5,3,31,3254,235412,238274,287.742 564 494 192.63 577 496 5.08556 418 419 131.686 331 382 189.526 550 225 ,Click2,2,5,5,242436,1
13,5,3,32,3354,242437,245095,307.264 692 268 194.083 335 401 170.522 374 457 4.42074 351 482 125.87 777 242 ,Click2,1,1,1,247538,1
